Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,AP64502QSP-13,Description,BUCK IC,1,Diodes Inc.,AP64502QSP-13,Volume Production,Mouser,621-AP64502QSP-13,3.56,3.56
,CC0603KPX7R9BB104,CAP CER 0.1UF 50V X7R 0603,"C1, C2, C3, C4, C12, C14, C15, C16, C17, C18, C19, C20",11,Yageo Group,CC0603KPX7R9BB104,Volume Production,Mouser,603-CC603KPX7R9BB104,0.03796,0.41751
,EEE-FT1H221GP,CAP ALUM 220UF 20% 50V SMD,C5,1,Panasonic,EEE-FT1H221GP,Unknown,Arrow Electronics,EEE-FT1H221GP,0.44956,0.44956
,GRM155R61H474KE11D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.47uF, X5R, 15%, 10%, 50V","C6, C7, C8, C9",4,Murata,GRM155R61H474KE11D,Volume Production,Mouser,81-GRM155R61H474KE1D,0.05061,0.50607
,CL31A106KBHNNNE,CAP CER 10UF 50V X5R 1206,"C10, C11",2,Samsung Electro-Mechanics,CL31A106KBHNNNE,Volume Production,DigiKey,1276-2876-6-ND,0.12652,0.25304
,C0402C103J3RACAUTO,"C0402 10,000 pF X7R 5.00% 25 V",C13,1,KEMET,C0402C103J3RACAUTO,Volume Production,Mouser,80-C0402C103J3RAUTO,0.14058,0.14058
,S1M-13-F,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10",10,Diodes Inc.,S1M-13-F,Volume Production,DigiKey,S1M-FDIDKR-ND,0.15604,1.56
,DAC60501ZDGSR,"True 12-bit, 1-ch, SPI/I2C, voltage-output DAC in WSON package with precision internal reference 10-VSSOP -40 to 125",DAC,1,Texas Instruments,DAC60501ZDGSR,Volume Production,DigiKey,296-DAC60501ZDGSRCT-ND,3.77,3.77
,PJ-102BH,"Through Hole Right Angle DC Power Jack, 5 A, 2.5 mm Center Pin, 3 Position, -25 to 85 degC, RoHS, Bulk",DC JACK - IN,1,Same Sky,PJ-102BH,Volume Production,,,,
,74279252,,FB1,1,Wurth Elektronik,74279252,Unknown,Mouser,710-74279252,0.42173,0.42173
,PCF8575PWR,"Remote 16-Bit I2C and SMBus I/O Expander with Interrupt Output, 2.5 to 5.5 V, -40 to 85 degC, 24-pin TSSOP (PW), Green (RoHS & no Sb/Br)",I2C EXPANDER,1,Texas Instruments,PCF8575PWR,Volume Production,Arrow Electronics,PCF8575PWR,1.59,1.59
,TSW-104-23-T-S,CONN HEADER VERT 4POS 2.54MM,"I2C, UART",2,Samtec,TSW-104-23-T-S,Volume Production,Avnet,TSW-104-23-T-S,0.4684,0.9368
,MGAH06036R8M-10,6.8 ÂµH Shielded Molded Inductor 5 A 50mOhm Max Nonstandard,L1,1,Laird,MGAH06036R8M-10,Volume Production,Mouser,739-MGAH06036R8M-10,0.63259,0.63259
,IRLZ44NPbF,MOSFET N-CH 55V 47A TO220AB,MOSFET_CC,1,Infineon,IRLZ44NPBF,Volume Production,Arrow Electronics,IRLZ44NPBF,1.97,1.97
,CD74HC4067SM96,IC MUX/DEMUX 1X16 24SSOP,MUX,1,Texas Instruments,CD74HC4067SM96,Volume Production,Mouser,595-CD74HC4067SM96,0.88563,0.88563
,NXRT15XH103FA1B030,Thermistor NTC 10kΩ ±1% 2-Pin Radial Bulk,NTC,1,Murata,NXRT15XH103FA1B030,End of Life,Arrow Electronics,NXRT15XH103FA1B030,0.19371,0.19371
,TLV9162IDDFR,"Dual, 16V, 11MHz, rail-to-rail input and output low-offset-voltage low-noise operational amplifier","OA CC SINK, OA UB 1",2,Texas Instruments,TLV9162IDDFR,Volume Production,Mouser,595-TLV9162IDDFR,2.78,5.57
,MCP6001UT-E/OT,None,"OA I_SENSE, OA UB 2",2,Microchip,MCP6001UT-E/OT,Volume Production,Farnell,1840893,0.47585,0.95169
,2K2 5% 0402(1005),2K2 0.063W 5% 0402 (1005 Metric)  SMD,R1,1,Bourns,CR0402-JW-222GLF,Volume Production,Farnell,4153652,0.00772,0.07716
,1K3 5% 2512(6432),1K3 1W 5% 2512 (6432 Metric)  SMD,R2,1,Vishay,CRCW25121K30JNEG,Volume Production,Arrow Electronics,CRCW25121K30JNEG,0.16757,0.16757
,CPF0603B10K7E,RES SMD 10.7KΩ 0.1% 1/16W 0603,"R3, R4",2,TE Connectivity / AMP,1-1879220-2,Volume Production,Mouser,279-CPF0603B10K7E,0.43579,0.87157
,Resistor 4k7 +/-1% 0402 100 mW,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R5, R8, RPU1, RPU2, RPU3, RPU4, RPU5, RPU6, RPU7, RPU8, RPU9, RPU10",12,Panasonic,ERJ-2RKF4701X,Volume Production,Newark,ERJ2RKF4701X,0.025,0.3
,523K 1% 0805(2012),523K 0.125W 1% 0805 (2012 Metric)  SMD,R6,1,Vishay,CRCW0805523KFKEA,Volume Production,Arrow Electronics,CRCW0805523KFKEA,0.00295,0.00295
,CRCW1210220RJNTA,,R7,1,Vishay,CRCW1210220RJNTA,Volume Production,Mouser,71-CRCW1210J-220,0.5623,0.5623
,AC0603JR-7W10KL,RES 10kΩ 5.00% 0.2W 0603,"R9, R11, R12",3,Yageo Group,AC0603JR-7W10KL,Volume Production,Mouser,603-AC0603JR-7W10KL,0.0253,0.25304
,7K5 1% 2010(5025),7K5 0.75W 1% 2010 (5025 Metric)  SMD,R10,1,Vishay,CRCW20107K50FKEF,Volume Production,Arrow Electronics,CRCW20107K50FKEF,0.0388,0.0388
,RNCP1206FTD100R,100Ω ±1% 0.5W 1206 High Power Anti-Sulfur Thin Film Chip Resistor,"R13, R15",2,Stackpole Electronics,RNCP1206FTD100R,Volume Production,Mouser,708-RNCP1206FTD100R,0.02249,0.22492
,CRCW251218K0FKEG,"RES Thick Film, 18kΩ, 1%, 1W, 100ppm/°C, 2512",R14,1,Vishay,CRCW251218K0FKEG,Volume Production,,,,
,10K2 1% 0402(1005),10K2 0.063W 1% 0402 (1005 Metric)  SMD,R16,1,Panasonic,ERJ-2RKF1022X,Volume Production,Avnet,53W4182,0.13776,0.13776
,RN73R1ETTP2001F25,"2kΩ ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thin Film",R17,1,KOA Speer,RN73R1ETTP2001F25,Volume Production,,,,
,1K2 1% 1812(4532),1K2 0.75W 1% 1812 (4532 Metric)  SMD,R18,1,Vishay,CRCW12181K20FKTK,Volume Production,Mouser,71-CRCW12181K20FKTK,1.17,1.17
,G5LE-1A DC5,RELAY GEN PURPOSE SPST 10A 5V,"RELAY 1, RELAY 2, RELAY 3, RELAY 4, RELAY 5, RELAY 6, RELAY 7, RELAY 8, RELAY 9, RELAY 10",10,Omron,G5LE-1A DC5,Volume Production,DigiKey,Z3115-ND,1.32,13.16
,ULN2003V12DR,MOSFET 7CH 16SOIC,"RELAY DRIVER 1, RELAY DRIVER 2",2,Texas Instruments,ULN2003V12DR,Volume Production,DigiKey,296-30538-1-ND,1.55,3.09
,TSW-106-07-G-S,"0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS","SD Card Module, SPI",2,Samtec,TSW-106-07-G-S,Volume Production,Avnet,TSW-106-07-G-S,0.62821,1.26
,CRA2512-FZ-R050ELF,RES 0.05 OHM 1% 3W 2512,SHUNT,1,Bourns,CRA2512-FZ-R050ELF,Volume Production,DigiKey,CRA2512-FZ-R050ELFCT-ND,0.77317,0.77317
,USB4125-GF-A-0190,CONN RCPT TYPE C 6P SMD RA,USB - C IN,1,Global Connector Technology,USB4125-GF-A-0190,Volume Production,Newark,USB4125-GF-A-0190,0.54684,0.54684
,XT60-M,Plug; DC supply; XT60; male; PIN: 2; for cable; soldered; 30A; 500V,XT60,1,Amass,XT60-M,Unknown,,,,
,MIC5504-3.3YM5-TR,IC REG LINEAR 3.3V 300MA SOT23-5,3.3V LDO,1,Microchip,MIC5504-3.3YM5-TR,Volume Production,Arrow Electronics,MIC5504-3.3YM5-TR,0.1502,0.1502
,LTST-C190GKT,LED GREEN CLEAR CHIP SMD,D11,1,Lite-On,LTST-C190GKT,Not Recommended for New Design,Mouser,859-LTST-C190GKT,0.13,0.13
,DM3AT-SF-PEJM5(40),CONN MICRO SD R/A PUSH-PUSH SMD,MicroSD,1,HIROSE ELECTRIC,DM3AT-SF-PEJM5(40),Volume Production,Mouser,798-DM3AT-SF-PEJM540,2.94,2.94
,CRCW1210120RJNTA,,R19,1,Vishay,CRCW1210120RJNTA,Volume Production,,,,
